Region,Year,Birds,Fungi,Plants,Reptiles
801111140,2010,0.8101,0.8285,0.7923,0.7839
406021138,2010,0.9413,0.9154,0.9373,0.963
206071139,2010,0.7669,0.809,0.6846,0.6789
403041071,2010,0.7776,0.8169,0.7565,0.6774
116021562,2010,0.7968,0.8182,0.7771,0.7771
801051049,2010,0.7783,0.8163,0.6884,0.7225
604011075,2010,0.7847,0.818,0.7829,0.7724
111031222,2010,0.7988,0.836,0.8027,0.8169
401011001,2010,0.7663,0.8203,0.7036,0.6638
404031104,2010,0.7608,0.8285,0.7257,0.685
401021003,2010,0.7811,0.8202,0.7014,0.683
308051530,2010,0.8154,0.8331,0.8065,0.7952
801051050,2010,0.7852,0.8173,0.7294,0.724
312031359,2010,0.8396,0.8403,0.8118,0.8094
210011226,2010,0.7671,0.8125,0.6621,0.6803
318021467,2010,0.8133,0.8216,0.7777,0.7879
701021010,2010,0.8554,0.8565,0.831,0.8294
509011225,2010,0.7969,0.8209,0.7273,0.7567
314011382,2010,0.8047,0.8207,0.7531,0.7752
509011226,2010,0.7955,0.8224,0.7182,0.755
206051128,2010,0.7649,0.8011,0.6528,0.6789
305031119,2010,0.7954,0.8248,0.7536,0.7752
107031136,2010,0.819,0.8362,0.8231,0.827
107031137,2010,0.7935,0.8241,0.7756,0.8175
109011172,2010,0.7733,0.8195,0.6865,0.6802
109011173,2010,0.7886,0.8205,0.7243,0.6962
109011174,2010,0.7813,0.8201,0.6861,0.681
109011175,2010,0.7943,0.8246,0.6943,0.7038
305031120,2010,0.8021,0.8248,0.7925,0.7752
401021004,2010,0.7798,0.8158,0.7107,0.6878
403041072,2010,0.7722,0.8157,0.7078,0.6632
505031098,2010,0.7906,0.8268,0.7519,0.7602
204011054,2010,0.807,0.83,0.775,0.7772
301011001,2010,0.8004,0.8275,0.7987,0.7777
201011001,2010,0.7705,0.8088,0.6612,0.6837
303051072,2010,0.8116,0.8261,0.8026,0.7753
505031255,2010,0.7999,0.8163,0.7653,0.7657
702031057,2010,0.8613,0.8702,0.8339,0.848
206021110,2010,0.7679,0.8115,0.6729,0.6843
205021080,2010,0.8135,0.8327,0.8315,0.842
205051099,2010,0.8139,0.8331,0.8206,0.8201
213021341,2010,0.7574,0.8124,0.645,0.6637
213021342,2010,0.7545,0.8241,0.6574,0.6748
213021343,2010,0.7579,0.812,0.6636,0.6752
801041034,2010,0.7817,0.8134,0.7225,0.7223
312021342,2010,0.8032,0.821,0.7612,0.7574
702041062,2010,0.861,0.8661,0.8433,0.8696
106031119,2010,0.7993,0.8264,0.7934,0.8063
303021052,2010,0.7954,0.8248,0.7774,0.7752
701021011,2010,0.8544,0.8585,0.8318,0.8336
507041175,2010,0.7972,0.8225,0.7642,0.7703
801011001,2010,0.7818,0.8233,0.7668,0.7244
215011386,2010,0.7747,0.8156,0.6837,0.6925
215011387,2010,0.7931,0.8213,0.6871,0.6973
801101134,2010,0.7815,0.8221,0.7497,0.724
213011328,2010,0.7622,0.8072,0.6584,0.6781
206061135,2010,0.7743,0.8073,0.7022,0.6901
506011110,2010,0.7918,0.8261,0.73,0.7852
110011186,2010,0.7943,0.8166,0.7371,0.7532
110011187,2010,0.8113,0.8265,0.7774,0.8008
110011188,2010,0.8072,0.8214,0.7456,0.7865
