"Region","X1750","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024"
"801111140",1,0.8002,0.7989,0.7989,0.8044,0.8084,0.8081,0.805,0.8029,0.8023,0.8039,0.8078,0.8136,0.8163,0.8092,0.8061,0.8009,0.8036,0.8006,0.8023,0.8038,0.8101,0.816,0.8191,0.8145,0.808,0.8069,0.8076,0.8092,0.8096,0.809,0.8016,0.802,0.804,0.8145,0.8154
"406021138",1,0.9361,0.9378,0.9375,0.938,0.9388,0.9401,0.9403,0.9385,0.9385,0.9391,0.938,0.9392,0.9387,0.9413,0.9421,0.9425,0.9426,0.9421,0.9423,0.9416,0.9413,0.9392,0.939,0.9393,0.9408,0.9413,0.9387,0.9387,0.9381,0.9402,0.9398,0.9393,0.9378,0.9379,0.9373
"206071139",1,0.7584,0.7605,0.7614,0.7672,0.7725,0.7702,0.7666,0.7611,0.7599,0.7623,0.7645,0.7702,0.7744,0.7711,0.7698,0.7648,0.7682,0.7641,0.7639,0.7628,0.7669,0.7722,0.7763,0.7723,0.7655,0.7648,0.7626,0.764,0.7646,0.7669,0.7619,0.7624,0.7647,0.7709,0.7709
"403041071",1,0.765,0.7658,0.7679,0.7746,0.7771,0.7735,0.7691,0.7683,0.7683,0.7716,0.7728,0.7783,0.7835,0.7814,0.7811,0.7759,0.7777,0.7735,0.7736,0.7733,0.7776,0.7834,0.7836,0.781,0.7762,0.7756,0.7747,0.7761,0.7774,0.7792,0.7738,0.7731,0.7731,0.7793,0.7797
"116021562",1,0.7878,0.7849,0.7872,0.7913,0.7963,0.7939,0.7911,0.7898,0.7892,0.791,0.7932,0.7986,0.8001,0.7969,0.7938,0.7907,0.7918,0.7902,0.7922,0.7934,0.7968,0.8013,0.8033,0.8006,0.794,0.7928,0.7909,0.7922,0.7922,0.793,0.7894,0.7907,0.7932,0.7992,0.7989
"801051049",1,0.7656,0.7653,0.7671,0.7731,0.7787,0.7755,0.7726,0.7699,0.7687,0.7702,0.7725,0.7797,0.7833,0.7792,0.777,0.7721,0.7746,0.7715,0.774,0.7738,0.7783,0.7832,0.787,0.7832,0.7747,0.7733,0.7718,0.7738,0.7748,0.777,0.7722,0.7729,0.7752,0.7828,0.7822
"604011075",1,0.7741,0.778,0.7797,0.7868,0.7904,0.7908,0.7872,0.7819,0.7789,0.7828,0.7871,0.7933,0.7939,0.7908,0.7887,0.7827,0.7825,0.7788,0.777,0.7788,0.7847,0.7921,0.7961,0.7902,0.7856,0.7835,0.7858,0.7868,0.7879,0.7901,0.7852,0.784,0.7867,0.7948,0.7968
"111031222",1,0.7907,0.787,0.7888,0.7932,0.7973,0.7949,0.7918,0.7915,0.7913,0.7935,0.7953,0.8004,0.8016,0.7989,0.7958,0.7925,0.7935,0.7928,0.7951,0.7961,0.7988,0.803,0.805,0.8029,0.7968,0.7959,0.7941,0.7953,0.7948,0.7953,0.7921,0.7939,0.7969,0.8019,0.8016
"401011001",1,0.7519,0.7531,0.756,0.7628,0.7663,0.7621,0.7585,0.756,0.7564,0.7589,0.7596,0.7651,0.7703,0.7686,0.7681,0.7628,0.7653,0.7614,0.7631,0.7632,0.7663,0.769,0.7682,0.7656,0.7614,0.7611,0.7594,0.7602,0.7613,0.7646,0.7594,0.7589,0.7587,0.7639,0.7638
"404031104",1,0.7452,0.7463,0.7497,0.7572,0.7612,0.7572,0.7537,0.7508,0.7509,0.7534,0.7536,0.7593,0.765,0.7637,0.7642,0.7581,0.7612,0.756,0.7578,0.7576,0.7608,0.7628,0.7612,0.7587,0.7551,0.7551,0.7535,0.7536,0.7554,0.7597,0.754,0.753,0.7521,0.7568,0.7565
