Region,1750,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australian Capital Territory,300,239.2529,238.9957,239.0051,240.7359,241.9681,241.9484,240.9628,240.2251,239.997,240.5717,241.7621,243.5201,244.3366,242.2989,241.3371,239.7009,240.4179,239.5154,240.0235,240.4609,242.4072,244.1128,245.0394,243.5709,241.7507,241.4012,241.7335,242.1769,242.3618,242.2345,240.0425,240.018,240.659,243.7762,244.1631
New South Wales,634,519.084,520.6529,524.2065,529.9919,532.736,531.0533,529.9849,528.2491,527.3947,528.7614,528.1673,531.8967,534.7627,534.9064,534.2679,530.1719,531.8174,529.7147,531.2883,531.215,529.5166,529.689,528.5173,530.474,529.8625,529.6779,526.2393,527.0548,529.1907,533.5731,528.4823,526.6949,524.6035,529.0012,527.6196
Northern Territory,428,391.267,390.8596,391.395,391.0654,391.5213,390.7244,390.8692,389.8624,390.0702,389.7922,389.6956,388.8373,389.1877,389.9559,390.9419,391.1648,390.5511,390.7569,390.4148,390.2484,389.621,388.8873,389.0547,390.6792,390.892,391.3065,389.896,389.7404,389.8621,390.5,390.6103,390.4507,390.054,389.0472,388.1227
Other Territories,184,145.9508,145.3067,145.6593,146.4455,147.1773,146.7632,146.2338,146.2164,146.1898,146.5223,146.8543,147.6987,147.9458,147.4472,146.8884,146.33,146.573,146.4617,146.7923,146.8997,147.4058,148.1997,148.5684,148.0839,147.0604,146.8477,146.6212,146.7834,146.6873,146.6775,146.1236,146.4307,146.8917,147.8411,147.7534
Queensland,639,555.9782,555.0328,557.5112,560.0699,562.0065,560.5612,560.2016,558.0215,557.493,557.6866,557.61,558.4842,560.2136,561.6558,562.4269,560.8414,560.8379,560.4539,559.8404,558.6717,556.3276,555.4562,555.7912,559.686,561.0853,561.8736,558.1012,558.1302,558.4929,560.4367,558.2604,557.4252,556.6893,557.4417,555.3546
South Australia,478,422.4746,423.1844,424.4339,426.3621,427.838,427.8357,427.4729,426.2621,426.4355,427.4935,426.8036,428.1477,429.1802,430.1677,430.6031,429.0451,429.8365,428.6589,429.4143,428.8006,427.9287,426.4831,426.3421,427.3512,428.1778,427.947,425.9638,426.4668,427.2064,429.5168,427.9909,427.3978,425.9904,427.2476,426.3563
Tasmania,278,219.2478,219.934,220.2127,222.0997,222.3807,223.4301,222.4008,220.5298,219.6064,221.4688,223.5963,224.5931,224.2465,223.594,222.4328,220.3763,219.1384,218.8115,219.4263,220.7907,223.0895,223.8791,223.0897,220.6434,221.2372,221.3001,222.9272,222.7969,224.1584,224.7025,223.1105,221.1626,222.3978,225.0287,226.9639
Victoria,518,407.0479,407.4303,408.96,413.0145,415.368,414.5948,412.9933,411.3139,411.2572,412.7837,413.1719,415.5424,417.7041,416.9481,416.5999,413.2231,414.2834,412.3571,413.8651,414.3937,415.4734,415.808,415.1645,413.7513,412.6093,412.1782,411.7972,412.2446,413.9756,416.2672,412.8073,411.4935,410.9612,414.508,414.6751
Western Australia,484,443.1192,442.7738,441.8321,441.9615,442.1417,441.7775,441.1099,439.9742,441.1022,440.938,440.3374,440.6164,441.996,443.3701,443.4594,443.0393,442.1681,442.6165,442.501,442.738,443.3646,443.4164,443.3461,442.8038,442.7245,442.1844,441.4902,441.3463,441.7989,442.2053,442.3033,442.1895,441.4301,440.9284,440.8765
