"Region","X1750","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024"
"801111140",1,0.8222,0.8209,0.8206,0.8243,0.8273,0.8269,0.8245,0.8222,0.8219,0.8234,0.8266,0.831,0.8334,0.8288,0.8264,0.8222,0.8233,0.8217,0.823,0.8241,0.8285,0.8327,0.8353,0.8318,0.8274,0.8264,0.8267,0.8279,0.8284,0.8286,0.824,0.8239,0.8256,0.8327,0.8337
"406021138",1,0.9103,0.9114,0.912,0.9137,0.915,0.915,0.9148,0.9126,0.9128,0.9135,0.9126,0.9142,0.9152,0.9176,0.9182,0.9173,0.9173,0.9167,0.9171,0.9163,0.9154,0.9137,0.9135,0.9151,0.9163,0.9164,0.9132,0.9133,0.9137,0.916,0.9147,0.9139,0.9121,0.9126,0.9112
"206071139",1,0.8048,0.806,0.8057,0.8091,0.8121,0.8108,0.8084,0.8045,0.804,0.8056,0.8066,0.8102,0.8135,0.8124,0.8118,0.8081,0.81,0.8082,0.8081,0.8071,0.809,0.8117,0.8137,0.8125,0.809,0.8087,0.8064,0.8075,0.8074,0.8088,0.8063,0.8067,0.8085,0.811,0.8107
"403041071",1,0.8094,0.8091,0.8106,0.8141,0.8158,0.8138,0.8114,0.8093,0.8097,0.8112,0.8128,0.8168,0.8206,0.8195,0.819,0.8152,0.816,0.8141,0.8143,0.8139,0.8169,0.8206,0.8212,0.8198,0.817,0.8163,0.8147,0.8163,0.8168,0.8178,0.8146,0.8146,0.8152,0.8188,0.8185
"116021562",1,0.8134,0.8106,0.8119,0.8151,0.8177,0.8164,0.8146,0.8135,0.8138,0.8153,0.817,0.8198,0.8202,0.8199,0.8182,0.8159,0.8154,0.8146,0.8157,0.8158,0.8182,0.8213,0.8231,0.8214,0.8178,0.8172,0.8154,0.8158,0.8152,0.8155,0.8143,0.8158,0.8183,0.82,0.8195
"801051049",1,0.8106,0.8095,0.8097,0.8125,0.816,0.814,0.8119,0.8098,0.8095,0.8106,0.8126,0.8177,0.8207,0.8178,0.8158,0.8122,0.8135,0.8119,0.8135,0.8135,0.8163,0.82,0.8229,0.8208,0.8155,0.8145,0.8126,0.8142,0.8143,0.8161,0.8131,0.814,0.8155,0.8208,0.8208
"604011075",1,0.8094,0.8102,0.811,0.8161,0.8178,0.8177,0.815,0.8117,0.81,0.8126,0.8155,0.8203,0.822,0.8203,0.8187,0.8145,0.8143,0.8127,0.8127,0.8132,0.818,0.8214,0.8244,0.8218,0.8185,0.817,0.817,0.8181,0.8185,0.8192,0.8157,0.8152,0.8172,0.8227,0.8238
"111031222",1,0.8298,0.8269,0.8283,0.8321,0.8353,0.8347,0.8317,0.8312,0.8313,0.8335,0.8361,0.8386,0.8393,0.8367,0.8343,0.8319,0.8326,0.8322,0.8327,0.8332,0.836,0.8407,0.8427,0.8402,0.8364,0.8352,0.8357,0.8358,0.8359,0.834,0.8308,0.8312,0.8335,0.839,0.8394
"401011001",1,0.8123,0.8117,0.8131,0.817,0.8194,0.8178,0.8158,0.8133,0.8142,0.8159,0.8165,0.8195,0.8221,0.8218,0.8218,0.819,0.8201,0.8182,0.8188,0.8187,0.8203,0.8212,0.8212,0.8203,0.8192,0.8187,0.8163,0.8171,0.8182,0.8203,0.8172,0.8165,0.8161,0.8184,0.8182
"404031104",1,0.8207,0.8204,0.8218,0.8265,0.8292,0.8272,0.8251,0.8225,0.8231,0.8254,0.8259,0.8289,0.8306,0.8304,0.8305,0.8281,0.8293,0.8273,0.8278,0.8275,0.8285,0.8281,0.8287,0.8285,0.828,0.8273,0.8249,0.8253,0.8265,0.8284,0.8253,0.8244,0.824,0.8262,0.8258
