Region,1750,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australian Capital Territory,9545,7833.6865,7823.0869,7820.958,7856.2944,7884.2715,7881.0957,7857.3228,7834.0273,7830.5645,7845.9907,7875.5527,7918.3931,7941.7041,7900.3276,7877.2876,7836.9385,7846.9307,7831.6279,7843.9897,7853.2388,7894.4365,7934.0967,7958.4414,7925.0337,7883.9595,7874.7627,7877.1953,7889.1108,7893.6406,7897.3135,7853.8237,7853.0781,7869.5938,7935.5483,7945.6494
New South Wales,32861,27927.7012,27924.5977,27990.1641,28141.0938,28225.4492,28176.3203,28121.959,28053.6309,28065.6426,28107.3398,28107.623,28206.6211,28309.6641,28315.0371,28301.5957,28178.0293,28212.084,28165.3223,28204.248,28185.9863,28172.2324,28192.0664,28200.2305,28225.4531,28191.207,28171.1191,28076.6582,28103.9297,28152.0352,28248.7246,28116.8633,28082.502,28042.1094,28160.0391,28120.3008
Northern Territory,29788,26811.4883,26802.416,26841.0508,26864.8086,26906.1035,26858.6973,26850.0742,26775.1602,26787.4004,26780.6191,26764.3066,26765.0703,26823.6953,26882.7539,26920.8066,26894.3516,26869.0156,26871.8086,26852.002,26835.6152,26786.1758,26762.3594,26769.2852,26872.1328,26887.1348,26900.5918,26792.9453,26795.8262,26809.1113,26866.4414,26840.2305,26820.6328,26785.9355,26765.2598,26716.3281
Other Territories,2764,2273.9558,2265.7881,2269.5896,2280.3828,2290.4866,2288.1523,2280.3938,2278.9058,2278.7817,2283.9629,2289.2317,2295.7241,2298.0959,2293.1895,2287.5952,2281.2551,2283.0164,2281.5535,2282.7593,2283.1255,2289.9873,2301.8623,2307.594,2300.8635,2290.7356,2286.9753,2287.4336,2288.2073,2287.8496,2283.0134,2276.7051,2278.8511,2285.5137,2297.5999,2297.7178
Queensland,34100,29843.3789,29816.1133,29880.9121,29974.4141,30045.1426,29991.2637,29957.9219,29872.3945,29872.3438,29885.0488,29875.9512,29922.3008,30008.7695,30060.1094,30080.1953,30008.3867,30007.4473,29997.75,29981.6855,29943.4121,29871.4395,29861.3242,29878.0,29996.4648,30018.4902,30032.8555,29896.9531,29907.3398,29928.2441,30007.1387,29925.832,29896.8418,29870.8555,29910.2402,29849.0371
South Australia,29668,25994.1094,26007.1699,26047.5801,26144.2441,26216.4023,26195.4727,26168.7969,26092.0918,26117.541,26157.9375,26129.6445,26193.6797,26268.0215,26324.9512,26346.7656,26263.5918,26286.7793,26240.8887,26269.4863,26238.5098,26205.8438,26155.4453,26150.3223,26204.2988,26239.7012,26231.8652,26122.8633,26141.293,26178.2168,26275.8711,26196.4414,26164.1309,26101.666,26151.6074,26101.8203
Tasmania,18852,15334.2109,15340.3477,15346.7793,15427.2705,15469.4492,15461.3525,15411.7832,15343.1484,15330.3252,15380.8359,15441.5684,15509.4424,15544.0254,15502.3535,15475.0938,15390.4355,15390.3369,15358.7305,15359.875,15373.3652,15444.3477,15518.1045,15548.6992,15492.5166,15444.0156,15424.5039,15434.5332,15450.0703,15474.125,15494.2402,15425.6914,15401.5859,15433.2773,15531.7285,15561.3125
Victoria,22912,18991.4863,18978.207,18997.5898,19095.1719,19157.2578,19131.2852,19082.041,19026.8027,19043.5059,19084.1602,19107.9121,19179.2305,19249.25,19223.2109,19210.2891,19117.1445,19140.7832,19098.0781,19124.4902,19123.5625,19166.1484,19202.4922,19218.5957,19183.334,19136.8926,19116.4434,19091.998,19113.3652,19144.1758,19187.4121,19099.5527,19081.0762,19074.9258,19170.6797,19169.3828
Western Australia,38818,34407.6016,34391.9531,34417.6094,34489.082,34541.207,34487.1758,34443.0781,34356.7852,34397.8477,34404.3125,34376.9336,34423.3125,34540.7617,34605.4219,34622.3047,34544.793,34522.2617,34517.2852,34518.2773,34507.9766,34501.4609,34508.3477,34509.1406,34546.5938,34531.9453,34514.2148,34408.8086,34420.6406,34457.2148,34535.7812,34479.3711,34454.375,34396.5664,34410.3047,34371.9375
