Region,1750,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australian Capital Territory,3079,2316.1389,2313.1191,2305.6636,2320.2932,2341.2903,2339.7625,2328.4604,2320.7693,2314.4377,2320.1584,2336.4878,2368.2903,2379.8037,2341.7925,2324.4106,2304.4812,2324.5308,2310.2405,2323.0618,2329.2578,2361.9829,2387.0295,2407.5894,2384.9282,2348.2107,2340.6956,2347.3521,2357.0996,2351.7437,2347.0125,2324.8049,2334.0515,2344.4517,2388.0215,2394.0457
New South Wales,7255,5872.0059,5884.7222,5916.5537,5980.4888,6014.8159,5993.1978,5976.2998,5954.4155,5951.1392,5965.8906,5957.7725,6003.624,6040.9106,6042.4756,6036.5508,5988.2207,6013.6025,5988.6021,6009.0903,6004.4546,5988.3643,5986.522,5975.8413,5988.396,5975.0913,5971.7173,5936.8022,5946.626,5969.8057,6019.646,5961.8047,5944.0601,5920.376,5971.5698,5953.7114
Northern Territory,4890,4407.3252,4404.4595,4412.5444,4410.5073,4416.2236,4405.2954,4406.3042,4392.8379,4395.3926,4390.6553,4387.7466,4381.082,4390.3726,4399.9731,4410.5786,4409.6016,4403.5684,4404.0635,4396.3359,4394.5439,4382.355,4381.2109,4383.1885,4409.4033,4410.8291,4416.7236,4396.6782,4397.3584,4396.957,4405.0283,4404.6777,4402.5913,4399.6299,4392.126,4380.9214
Other Territories,919,724.6854,720.8212,720.9889,722.356,725.8183,724.3892,723.4,725.1221,724.9922,726.5793,730.2627,735.0906,735.1475,730.9296,728.0064,724.6301,727.2672,726.9297,725.5778,724.6027,725.8602,736.0599,737.9655,735.8707,730.605,729.3719,730.0589,730.6444,728.5949,725.8757,724.489,729.0031,731.1136,736.4775,735.4443
Queensland,9389,8104.4702,8090.0493,8118.0059,8149.269,8174.0923,8151.3457,8143.4531,8111.9229,8107.5806,8106.6934,8106.54,8114.6465,8143.688,8163.625,8173.2515,8151.2837,8150.1519,8149.5732,8134.48,8119.3823,8081.5,8076.4282,8082.7202,8144.3433,8161.1997,8173.667,8119.6152,8120.1968,8125.3657,8156.2607,8126.0225,8113.4478,8106.8462,8117.4277,8095.3789
South Australia,3862,3309.3096,3315.1985,3319.8418,3336.822,3351.2158,3349.9028,3344.3362,3331.4812,3337.2952,3347.7249,3342.2505,3354.811,3364.9407,3372.4998,3376.54,3362.2734,3371.4951,3358.3872,3365.929,3359.644,3356.2339,3345.0188,3342.8596,3347.7769,3355.4917,3355.0623,3339.3677,3342.4934,3348.0808,3364.5974,3351.397,3347.1155,3337.885,3348.0923,3341.0588
Tasmania,2449,1804.592,1818.0592,1818.3485,1835.2911,1838.9553,1848.8673,1838.5781,1816.8167,1805.7402,1823.1979,1843.2249,1854.1758,1849.4933,1842.2799,1835.4027,1816.5249,1805.5546,1797.8895,1798.9985,1808.6161,1836.4993,1849.6924,1849.8844,1819.7166,1822.0001,1822.15,1840.9878,1841.3525,1849.1921,1852.889,1842.7305,1830.3064,1844.7404,1866.605,1882.7181
Victoria,4770,3575.3823,3579.1726,3588.2539,3626.9685,3653.3362,3638.5625,3618.3164,3600.8242,3605.7168,3621.6326,3626.3547,3654.4539,3676.8174,3660.0652,3658.5503,3628.2703,3649.4712,3619.5605,3632.7068,3633.3604,3655.6023,3667.6296,3666.5671,3644.1006,3621.3833,3618.2495,3618.5283,3622.137,3630.8464,3643.2976,3613.8657,3612.6609,3613.9619,3645.0061,3646.5107
Western Australia,11411,9605.9072,9550.0215,9554.5244,9632.0488,9630.0508,9627.4258,9578.5283,9549.2568,9485.8691,9470.9492,9536.5781,9575.8398,9632.0234,9571.8877,9596.7031,9566.4814,9569.1953,9586.8496,9526.2871,9444.3037,9365.374,9401.1533,9495.0146,9583.583,9624.7881,9618.8809,9564.3262,9543.3564,9548.4551,9543.7646,9493.7305,9468.2188,9494.5381,9521.3555,9522.6377
