"Region","X1750","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024"
"801111140",1,0.7787,0.7763,0.7735,0.7763,0.7827,0.7824,0.7802,0.7784,0.7772,0.7783,0.7847,0.7943,0.797,0.7835,0.7775,0.7717,0.7777,0.773,0.7776,0.7808,0.7923,0.8024,0.8102,0.8022,0.7888,0.7854,0.7866,0.7903,0.789,0.7871,0.7799,0.7833,0.7868,0.8022,0.8036
"406021138",1,0.9302,0.9328,0.9316,0.9325,0.9333,0.9346,0.9348,0.933,0.9336,0.9347,0.9333,0.9359,0.9361,0.9385,0.9387,0.938,0.9386,0.9373,0.9385,0.9379,0.9373,0.9351,0.9344,0.9353,0.9362,0.9362,0.9335,0.9339,0.9341,0.9365,0.9355,0.9348,0.933,0.934,0.9324
"206071139",1,0.6765,0.6838,0.6811,0.6837,0.6904,0.6843,0.6811,0.6723,0.6698,0.6723,0.6768,0.6852,0.6898,0.6849,0.6864,0.6801,0.684,0.6745,0.6716,0.6717,0.6846,0.6971,0.7048,0.6953,0.6816,0.6805,0.6784,0.6802,0.6782,0.6785,0.6774,0.6822,0.6933,0.6928,0.693
"403041071",1,0.7423,0.7434,0.7472,0.752,0.7525,0.7472,0.7407,0.7394,0.7399,0.7436,0.7485,0.7559,0.762,0.7577,0.7559,0.7505,0.7542,0.7488,0.7481,0.7476,0.7565,0.7693,0.7718,0.7679,0.7588,0.7548,0.755,0.7586,0.7561,0.7544,0.7498,0.7529,0.7564,0.763,0.7635
"116021562",1,0.7686,0.7588,0.7607,0.7655,0.7727,0.7698,0.7652,0.7666,0.768,0.7722,0.7744,0.7773,0.7723,0.7696,0.7656,0.7661,0.7648,0.764,0.7675,0.7702,0.7771,0.784,0.7872,0.7831,0.7739,0.7738,0.7726,0.7744,0.7712,0.7657,0.7659,0.7722,0.7823,0.7832,0.7834
"801051049",1,0.6655,0.6659,0.666,0.672,0.6848,0.6766,0.6726,0.6693,0.6668,0.6684,0.6729,0.6858,0.6908,0.6828,0.6789,0.6747,0.6829,0.6769,0.6816,0.6795,0.6884,0.6952,0.7017,0.6936,0.677,0.6761,0.6747,0.6785,0.678,0.6802,0.6783,0.6821,0.6877,0.6965,0.6967
"604011075",1,0.7672,0.7751,0.7766,0.7881,0.7914,0.7963,0.7883,0.7809,0.7715,0.7798,0.786,0.7966,0.7901,0.7871,0.7795,0.7745,0.7706,0.7674,0.7644,0.7694,0.7829,0.7908,0.7981,0.791,0.7897,0.7845,0.7899,0.7893,0.7893,0.7886,0.7831,0.7809,0.7876,0.7974,0.8037
"111031222",1,0.7948,0.7875,0.7893,0.7935,0.8019,0.8015,0.7968,0.7968,0.7962,0.7989,0.8014,0.8034,0.802,0.8007,0.7969,0.7961,0.7952,0.7953,0.7958,0.799,0.8027,0.8102,0.8128,0.8104,0.8028,0.8007,0.8008,0.8012,0.8,0.7946,0.794,0.7979,0.8052,0.8077,0.8073
"401011001",1,0.6849,0.6848,0.6898,0.6948,0.6986,0.6942,0.6905,0.6866,0.6871,0.6898,0.6936,0.6998,0.7044,0.7007,0.6999,0.6947,0.6985,0.6928,0.6944,0.6947,0.7036,0.7099,0.708,0.7019,0.6973,0.6974,0.6952,0.6956,0.6961,0.6992,0.6962,0.6963,0.6965,0.6994,0.7016
"404031104",1,0.7145,0.7128,0.7164,0.7204,0.7247,0.7217,0.7181,0.7141,0.7153,0.7192,0.7226,0.7278,0.7278,0.7237,0.7225,0.7183,0.7221,0.7166,0.7169,0.7166,0.7257,0.731,0.7286,0.7236,0.7217,0.7217,0.7201,0.7203,0.7231,0.7255,0.7215,0.7188,0.718,0.7216,0.7244
"401021003",1,0.6856,0.6856,0.6868,0.6924,0.6975,0.6916,0.6856,0.683,0.6836,0.6872,0.6905,0.6976,0.7024,0.6977,0.6966,0.6925,0.6964,0.6915,0.6928,0.6936,0.7014,0.7099,0.7123,0.7069,0.6966,0.6955,0.6946,0.697,0.6941,0.694,0.6909,0.6942,0.6988,0.7041,0.7048
"308051530",1,0.8138,0.8071,0.8078,0.811,0.8115,0.8107,0.8088,0.8117,0.8127,0.8129,0.814,0.8131,0.8144,0.8119,0.81,0.8097,0.8106,0.8158,0.814,0.809,0.8065,0.8106,0.8154,0.8152,0.812,0.8118,0.8128,0.8129,0.8109,0.8069,0.8058,0.8088,0.8149,0.8151,0.8149
"801051050",1,0.7083,0.71,0.7103,0.7115,0.7232,0.7156,0.7142,0.7116,0.7069,0.7094,0.7159,0.733,0.7375,0.7226,0.7161,0.7106,0.7205,0.711,0.716,0.7154,0.7294,0.7416,0.7552,0.7443,0.7232,0.7184,0.7154,0.7222,0.722,0.7255,0.7222,0.7266,0.7341,0.7496,0.7495
"312031359",1,0.8334,0.8289,0.8303,0.8306,0.8301,0.8289,0.83,0.8306,0.8276,0.8251,0.8273,0.8298,0.8314,0.827,0.8271,0.8278,0.8292,0.8314,0.8254,0.8223,0.8118,0.816,0.8193,0.8271,0.829,0.8291,0.8315,0.8305,0.8302,0.8256,0.8267,0.8285,0.8353,0.8367,0.8385
"210011226",1,0.6547,0.6563,0.6494,0.6619,0.6812,0.6732,0.6657,0.6575,0.6536,0.6604,0.6651,0.6753,0.6817,0.674,0.6676,0.6634,0.675,0.6714,0.6683,0.6591,0.6621,0.6645,0.6624,0.6573,0.6509,0.6589,0.6542,0.6526,0.6504,0.6525,0.6474,0.6516,0.6561,0.6573,0.6621
