"Region","X1750","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024"
"801111140",1,0.7619,0.7648,0.7629,0.7668,0.7777,0.7753,0.7747,0.7702,0.7662,0.7661,0.7739,0.7872,0.7916,0.7733,0.7676,0.7605,0.772,0.7627,0.7693,0.7695,0.7839,0.7954,0.8077,0.7984,0.7795,0.7729,0.7746,0.7804,0.7814,0.7803,0.7724,0.775,0.7804,0.7993,0.7988
"406021138",1,0.9554,0.9591,0.9587,0.9581,0.958,0.9601,0.9611,0.9601,0.9593,0.9597,0.9588,0.9602,0.9576,0.9605,0.9612,0.9631,0.9634,0.9628,0.9635,0.9626,0.963,0.9608,0.961,0.9599,0.9609,0.962,0.9604,0.9605,0.959,0.9608,0.9613,0.9608,0.9595,0.9593,0.9599
"206071139",1,0.6769,0.6837,0.6748,0.6836,0.6987,0.7048,0.6987,0.6775,0.6743,0.6787,0.6791,0.6831,0.6902,0.6845,0.682,0.6783,0.6921,0.6806,0.6736,0.6688,0.6789,0.6895,0.7045,0.6924,0.6798,0.6794,0.6753,0.6783,0.6774,0.6777,0.6711,0.6757,0.684,0.693,0.692
"403041071",1,0.6456,0.6567,0.6749,0.6881,0.6784,0.6605,0.6438,0.639,0.6481,0.6557,0.6597,0.6616,0.6759,0.6773,0.6782,0.6734,0.6803,0.6658,0.6615,0.6623,0.6774,0.6924,0.685,0.6833,0.6742,0.6683,0.6733,0.6801,0.6756,0.6716,0.6616,0.6638,0.6667,0.6804,0.681
"116021562",1,0.7608,0.7502,0.7536,0.7556,0.7561,0.7552,0.7522,0.7592,0.7631,0.7661,0.77,0.7756,0.7674,0.7654,0.7571,0.7583,0.7549,0.7557,0.7637,0.7676,0.7771,0.783,0.7847,0.7771,0.7672,0.767,0.7641,0.7643,0.7599,0.7558,0.7597,0.7679,0.7769,0.7754,0.7744
"801051049",1,0.6886,0.6974,0.6994,0.7021,0.7185,0.7091,0.7107,0.7044,0.6989,0.6986,0.7058,0.7271,0.7332,0.7157,0.7089,0.6999,0.7179,0.6999,0.7105,0.7057,0.7225,0.7377,0.7556,0.7443,0.7155,0.7048,0.7016,0.7128,0.7173,0.7229,0.7146,0.7184,0.728,0.7473,0.7453
"604011075",1,0.7585,0.769,0.7686,0.7782,0.7838,0.7881,0.7813,0.7731,0.7626,0.7724,0.7778,0.7884,0.7802,0.7771,0.7715,0.7643,0.7597,0.757,0.7517,0.7586,0.7724,0.7864,0.7917,0.7742,0.7704,0.7631,0.7736,0.7731,0.7748,0.7795,0.7748,0.7716,0.7786,0.7893,0.7974
"111031222",1,0.8035,0.797,0.8011,0.8035,0.807,0.8055,0.8003,0.8041,0.8042,0.8074,0.8109,0.8155,0.8127,0.8076,0.8029,0.8029,0.8043,0.8028,0.8054,0.8101,0.8169,0.8251,0.8267,0.8218,0.8126,0.8107,0.8106,0.8117,0.8104,0.8049,0.8021,0.8055,0.8117,0.8186,0.8182
"401011001",1,0.6244,0.6445,0.6535,0.6624,0.6497,0.6301,0.6259,0.6219,0.6361,0.6429,0.6401,0.6351,0.6404,0.6433,0.6439,0.6413,0.6454,0.6421,0.6444,0.6545,0.6638,0.6633,0.6548,0.648,0.6441,0.6404,0.6368,0.6415,0.6383,0.6421,0.6341,0.6337,0.631,0.6381,0.6423
"404031104",1,0.6477,0.6573,0.6631,0.6712,0.6673,0.6574,0.6531,0.6506,0.659,0.6634,0.6595,0.6599,0.6674,0.668,0.6702,0.6632,0.6688,0.6618,0.6681,0.6735,0.685,0.68,0.6714,0.6635,0.6576,0.6564,0.6535,0.6571,0.6594,0.6686,0.6639,0.6614,0.6554,0.6591,0.6616
"401021003",1,0.6525,0.6638,0.6809,0.693,0.6853,0.6667,0.6505,0.6465,0.6557,0.6631,0.6666,0.6691,0.6836,0.6835,0.6838,0.6789,0.6848,0.6713,0.6674,0.6682,0.683,0.6983,0.6916,0.6897,0.6803,0.6735,0.6779,0.6847,0.682,0.6779,0.6679,0.6707,0.6735,0.687,0.6866
"308051530",1,0.7996,0.7903,0.7901,0.7961,0.793,0.7917,0.7895,0.7984,0.8,0.7995,0.7998,0.7976,0.8015,0.7989,0.7953,0.7933,0.7982,0.807,0.8051,0.7983,0.7952,0.7978,0.8043,0.802,0.7993,0.7972,0.8009,0.8007,0.7974,0.7928,0.7919,0.7973,0.8033,0.8039,0.8043
"801051050",1,0.6916,0.6989,0.7006,0.7024,0.7182,0.7093,0.7107,0.705,0.6995,0.6997,0.7073,0.7285,0.734,0.7155,0.7089,0.7006,0.7166,0.7011,0.7106,0.7071,0.724,0.7388,0.7576,0.7456,0.7176,0.7077,0.7049,0.7154,0.7188,0.7236,0.7168,0.721,0.731,0.7502,0.7484
"312031359",1,0.8224,0.814,0.815,0.8188,0.8203,0.8209,0.8204,0.8202,0.8212,0.8213,0.8246,0.8258,0.8241,0.8217,0.8192,0.8216,0.8212,0.8279,0.8226,0.8179,0.8094,0.8174,0.8229,0.8266,0.8252,0.8233,0.8242,0.8208,0.819,0.8138,0.8144,0.8171,0.8243,0.8246,0.8247
"210011226",1,0.675,0.681,0.6723,0.6815,0.7007,0.7076,0.7011,0.681,0.6771,0.6828,0.6813,0.6847,0.692,0.6873,0.6832,0.6804,0.696,0.6839,0.6774,0.6706,0.6803,0.6889,0.7018,0.6909,0.6806,0.682,0.6754,0.6785,0.6763,0.6776,0.6713,0.6765,0.6864,0.6953,0.6946
"318021467",1,0.8049,0.7995,0.8031,0.8066,0.809,0.8092,0.8066,0.8055,0.8047,0.8034,0.8037,0.8016,0.8042,0.8067,0.8097,0.8079,0.7984,0.8055,0.7989,0.7979,0.7879,0.7941,0.8002,0.8053,0.8062,0.809,0.8047,0.8024,0.7994,0.7986,0.7946,0.7936,0.8002,0.8001,0.8007
