Region,1750,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australian Capital Territory,65,50.5343,50.7653,50.5458,50.8263,51.3943,51.4113,51.2937,51.0426,50.7387,50.7592,51.2134,52.0524,52.4082,51.2846,50.8808,50.3249,51.0233,50.5155,50.875,50.8992,51.838,52.5229,53.2515,52.7051,51.6638,51.2655,51.4841,51.8327,51.8213,51.6555,51.0076,51.1558,51.3829,52.6725,52.7045
New South Wales,337,256.6297,257.4271,259.762,263.6043,266.3665,264.9088,263.8723,262.9076,261.6619,262.5738,262.5736,266.5846,268.4434,267.0868,266.2531,263.118,264.8868,262.9005,264.7922,265.0695,265.1476,266.1405,266.1366,266.2945,263.5977,262.9662,261.1945,262.2191,263.6295,266.4794,262.5236,261.8156,261.0741,265.4146,264.5133
Northern Territory,357,329.0749,328.8277,329.216,328.0867,328.2853,327.3684,327.7007,326.8816,327.3069,327.0769,327.2605,325.5825,325.586,325.9055,326.9968,327.6024,326.9214,327.3761,327.1603,327.1403,326.5373,326.0362,326.1567,327.8326,327.3454,327.805,326.6505,326.686,326.885,327.5291,327.9712,327.903,327.6016,326.1654,325.1973
Other Territories,27,22.142,22.052,22.1131,22.1786,22.2196,22.2107,22.1393,22.1691,22.1376,22.1695,22.3625,22.5331,22.5083,22.2324,22.087,22.0642,22.1551,22.1285,22.1374,22.2651,22.4898,22.7526,22.8318,22.6437,22.4194,22.3623,22.3913,22.3796,22.3427,22.2015,22.0003,22.0399,22.0617,22.5085,22.5206
Queensland,534,450.0067,447.7128,450.7822,453.9304,455.7553,453.9445,453.4231,451.6007,450.5196,450.3174,450.768,451.4239,453.6021,454.9338,455.3796,453.5818,453.3983,453.551,452.1504,450.4394,446.9883,446.42,447.2841,452.5442,454.705,456.0374,452.0381,451.7657,451.3793,452.6071,450.223,449.4906,449.5673,450.6191,448.321
South Australia,266,223.726,224.4723,225.6142,227.0072,227.8673,227.6574,227.1712,226.6115,226.9315,227.8589,227.4284,228.1478,229.0564,229.652,230.2331,229.0412,229.7207,228.6302,229.2118,228.9063,228.8914,227.9717,227.5877,227.6633,227.9481,227.8078,226.9814,227.4195,228.0199,229.6675,228.7458,228.3166,227.2974,228.0954,227.9548
Tasmania,26,20.0653,20.284,20.2784,20.48,20.4611,20.7534,20.6787,20.324,20.1,20.4104,20.7932,20.8372,20.6423,20.6332,20.5041,20.2416,19.8762,19.8737,19.8867,20.1534,20.525,20.5943,20.4677,20.0232,20.28,20.2657,20.6629,20.615,20.8473,20.9187,20.8029,20.4068,20.6095,20.9157,21.3063
Victoria,137,98.7581,99.2481,99.5144,101.2249,102.6552,102.1645,101.1526,100.0957,100.0659,100.6341,100.8829,101.8194,102.7972,101.7944,101.9161,100.8487,101.8667,100.2606,100.2776,100.2924,101.4617,102.1569,102.3917,101.3895,100.2094,100.1289,100.5297,100.4609,100.7998,100.8504,99.6747,99.7631,100.1255,101.3657,101.4246
Western Australia,568,513.157,512.6396,510.8716,510.5666,510.562,509.6985,508.6497,507.066,508.9921,508.4775,507.7765,508.4668,510.7742,512.6285,512.4239,511.5571,510.3389,511.0361,510.9044,511.3605,513.2532,514.4615,514.4633,512.6033,512.0681,510.907,510.5066,510.3508,510.8441,511.0919,511.5228,511.429,510.1274,509.1636,510.1854
