Region,Year,Count,Type,Area_km2
Australian Capital Territory,1750,300,Bird,2358
New South Wales,1750,634,Bird,800642
Northern Territory,1750,428,Bird,1349129
Other Territories,1750,184,Bird,250
Queensland,1750,639,Bird,1730648
South Australia,1750,478,Bird,983482
Tasmania,1750,278,Bird,68401
Victoria,1750,518,Bird,227416
Western Australia,1750,484,Bird,2529875
Australian Capital Territory,1990,239,Bird,2358
New South Wales,1990,519,Bird,800642
Northern Territory,1990,391,Bird,1349129
Other Territories,1990,146,Bird,250
Queensland,1990,556,Bird,1730648
South Australia,1990,422,Bird,983482
Tasmania,1990,219,Bird,68401
Victoria,1990,407,Bird,227416
Western Australia,1990,443,Bird,2529875
Australian Capital Territory,1991,239,Bird,2358
New South Wales,1991,521,Bird,800642
Northern Territory,1991,391,Bird,1349129
Other Territories,1991,145,Bird,250
Queensland,1991,555,Bird,1730648
South Australia,1991,423,Bird,983482
Tasmania,1991,220,Bird,68401
Victoria,1991,407,Bird,227416
Western Australia,1991,443,Bird,2529875
Australian Capital Territory,1992,239,Bird,2358
New South Wales,1992,524,Bird,800642
Northern Territory,1992,391,Bird,1349129
Other Territories,1992,146,Bird,250
Queensland,1992,558,Bird,1730648
South Australia,1992,424,Bird,983482
Tasmania,1992,220,Bird,68401
Victoria,1992,409,Bird,227416
Western Australia,1992,442,Bird,2529875
Australian Capital Territory,1993,241,Bird,2358
New South Wales,1993,530,Bird,800642
Northern Territory,1993,391,Bird,1349129
Other Territories,1993,146,Bird,250
Queensland,1993,560,Bird,1730648
South Australia,1993,426,Bird,983482
Tasmania,1993,222,Bird,68401
Victoria,1993,413,Bird,227416
Western Australia,1993,442,Bird,2529875
Australian Capital Territory,1994,242,Bird,2358
New South Wales,1994,533,Bird,800642
Northern Territory,1994,392,Bird,1349129
Other Territories,1994,147,Bird,250
Queensland,1994,562,Bird,1730648
South Australia,1994,428,Bird,983482
Tasmania,1994,222,Bird,68401
Victoria,1994,415,Bird,227416
Western Australia,1994,442,Bird,2529875
Australian Capital Territory,1995,242,Bird,2358
New South Wales,1995,531,Bird,800642
Northern Territory,1995,391,Bird,1349129
Other Territories,1995,147,Bird,250
Queensland,1995,561,Bird,1730648
South Australia,1995,428,Bird,983482
Tasmania,1995,223,Bird,68401
Victoria,1995,415,Bird,227416
Western Australia,1995,442,Bird,2529875
Australian Capital Territory,1996,241,Bird,2358
New South Wales,1996,530,Bird,800642
Northern Territory,1996,391,Bird,1349129
Other Territories,1996,146,Bird,250
Queensland,1996,560,Bird,1730648
South Australia,1996,427,Bird,983482
Tasmania,1996,222,Bird,68401
Victoria,1996,413,Bird,227416
Western Australia,1996,441,Bird,2529875
Australian Capital Territory,1997,240,Bird,2358
New South Wales,1997,528,Bird,800642
Northern Territory,1997,390,Bird,1349129
Other Territories,1997,146,Bird,250
Queensland,1997,558,Bird,1730648
South Australia,1997,426,Bird,983482
Tasmania,1997,221,Bird,68401
Victoria,1997,411,Bird,227416
Western Australia,1997,440,Bird,2529875
Australian Capital Territory,1998,240,Bird,2358
New South Wales,1998,527,Bird,800642
Northern Territory,1998,390,Bird,1349129
Other Territories,1998,146,Bird,250
Queensland,1998,557,Bird,1730648
South Australia,1998,426,Bird,983482
Tasmania,1998,220,Bird,68401
Victoria,1998,411,Bird,227416
Western Australia,1998,441,Bird,2529875
Australian Capital Territory,1999,241,Bird,2358
New South Wales,1999,529,Bird,800642
Northern Territory,1999,390,Bird,1349129
Other Territories,1999,147,Bird,250
Queensland,1999,558,Bird,1730648
South Australia,1999,427,Bird,983482
Tasmania,1999,221,Bird,68401
Victoria,1999,413,Bird,227416
Western Australia,1999,441,Bird,2529875
Australian Capital Territory,2000,242,Bird,2358
New South Wales,2000,528,Bird,800642
Northern Territory,2000,390,Bird,1349129
Other Territories,2000,147,Bird,250
Queensland,2000,558,Bird,1730648
South Australia,2000,427,Bird,983482
Tasmania,2000,224,Bird,68401
Victoria,2000,413,Bird,227416
Western Australia,2000,440,Bird,2529875
Australian Capital Territory,2001,244,Bird,2358
New South Wales,2001,532,Bird,800642
Northern Territory,2001,389,Bird,1349129
Other Territories,2001,148,Bird,250
Queensland,2001,558,Bird,1730648
South Australia,2001,428,Bird,983482
Tasmania,2001,225,Bird,68401
Victoria,2001,416,Bird,227416
Western Australia,2001,441,Bird,2529875
Australian Capital Territory,2002,244,Bird,2358
New South Wales,2002,535,Bird,800642
Northern Territory,2002,389,Bird,1349129
Other Territories,2002,148,Bird,250
Queensland,2002,560,Bird,1730648
South Australia,2002,429,Bird,983482
Tasmania,2002,224,Bird,68401
Victoria,2002,418,Bird,227416
Western Australia,2002,442,Bird,2529875
Australian Capital Territory,2003,242,Bird,2358
New South Wales,2003,535,Bird,800642
Northern Territory,2003,390,Bird,1349129
Other Territories,2003,147,Bird,250
Queensland,2003,562,Bird,1730648
South Australia,2003,430,Bird,983482
Tasmania,2003,224,Bird,68401
Victoria,2003,417,Bird,227416
Western Australia,2003,443,Bird,2529875
Australian Capital Territory,2004,241,Bird,2358
New South Wales,2004,534,Bird,800642
Northern Territory,2004,391,Bird,1349129
Other Territories,2004,147,Bird,250
Queensland,2004,562,Bird,1730648
South Australia,2004,431,Bird,983482
Tasmania,2004,222,Bird,68401
Victoria,2004,417,Bird,227416
Western Australia,2004,443,Bird,2529875
Australian Capital Territory,2005,240,Bird,2358
New South Wales,2005,530,Bird,800642
Northern Territory,2005,391,Bird,1349129
Other Territories,2005,146,Bird,250
Queensland,2005,561,Bird,1730648
South Australia,2005,429,Bird,983482
Tasmania,2005,220,Bird,68401
Victoria,2005,413,Bird,227416
Western Australia,2005,443,Bird,2529875
Australian Capital Territory,2006,240,Bird,2358
