id,country,Year,invertebrates,plants,total_threatened,vertebrates
4,Afghanistan,2004,1,1,33,31
4,Afghanistan,2010,1,2,34,31
4,Afghanistan,2015,2,5,38,31
4,Afghanistan,2020,2,5,40,33
4,Afghanistan,2022,2,11,55,42
4,Afghanistan,2023,2,13,57,42
4,Afghanistan,2024,2,13,57,42
8,Albania,2004,4,0,37,33
8,Albania,2010,47,0,100,53
8,Albania,2015,58,0,112,54
8,Albania,2020,73,5,142,64
8,Albania,2022,74,5,157,78
8,Albania,2023,78,5,165,82
8,Albania,2024,79,5,180,96
12,Algeria,2004,12,2,50,36
12,Algeria,2010,21,15,105,69
12,Algeria,2015,26,17,114,71
12,Algeria,2020,42,28,155,85
12,Algeria,2022,44,33,186,109
12,Algeria,2023,43,31,186,112
12,Algeria,2024,42,33,192,117
16,American Samoa,2004,5,1,24,18
16,American Samoa,2010,57,1,79,21
16,American Samoa,2015,64,1,90,25
16,American Samoa,2020,65,2,99,32
16,American Samoa,2022,66,2,105,37
16,American Samoa,2023,66,3,109,40
16,American Samoa,2024,152,3,195,40
20,Andorra,2004,4,0,5,1
20,Andorra,2010,4,0,8,4
20,Andorra,2015,7,0,11,4
20,Andorra,2020,8,1,15,6
20,Andorra,2022,8,1,15,6
20,Andorra,2023,7,1,17,9
20,Andorra,2024,6,4,21,11
24,Angola,2004,6,26,76,44
24,Angola,2010,7,33,117,77
24,Angola,2015,9,34,130,87
24,Angola,2020,11,43,171,117
24,Angola,2022,11,69,229,149
24,Angola,2023,11,79,239,149
24,Angola,2024,11,80,245,154
660,Anguilla,2004,0,3,18,15
660,Anguilla,2010,10,3,33,20
660,Anguilla,2015,10,4,51,37
660,Anguilla,2020,10,3,60,47
660,Anguilla,2022,25,3,85,57
660,Anguilla,2023,25,3,85,57
660,Anguilla,2024,26,3,93,64
10,Antarctica,2004,0,0,8,8
10,Antarctica,2010,0,0,6,6
10,Antarctica,2015,0,0,6,6
10,Antarctica,2020,0,0,6,6
10,Antarctica,2022,0,0,8,8
10,Antarctica,2023,0,0,10,10
10,Antarctica,2024,0,0,10,10
28,Antigua and Barbuda,2004,0,4,22,18
